id,first_name,last_name,position,id_team,abbreviation,city,conference,division,full_name,name
625,Jeff,Turner,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
626,Scott,Hastings,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
627,Alvin,Robertson,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
628,Steve,Henson,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
629,Andy,Toolson,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
630,Thurl,Bailey,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
631,Kurt,Rambis,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
632,Clyde,Drexler,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
633,David,Wood,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
634,Sam,Mitchell,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
635,Rodney,McCray,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
636,Blair,Rasmussen,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
637,Kevin,Pritchard,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
638,Milt,Wagner,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
639,Bernard,King,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
640,Roy,Hinson,Unknown,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
641,Matt,Bullard,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
642,Alan,Ogg,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
643,Kevin,Lynch,Unknown,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
644,Larry,Krystkowiak,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
645,Pete,Chilcutt,Unknown,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
646,Randy,Brown,Unknown,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
647,Elliot,Perry,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
648,Jimmy,Oliver,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
649,Terrell,Brandon,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
650,Greg,Sutton,Unknown,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
651,Tom,Copa,Unknown,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
652,Donald,Hodge,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
653,Joao,Vianna,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
654,Mike,Iuzzolino,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
655,Greg,Anthony,Unknown,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
656,Albert,King,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
657,Tellis,Frank,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
658,David,Benoit,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
659,Demetrius,Calip,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
660,Dikembe,Mutombo,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
661,Mark,Macon,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
662,Chris,Gatling,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
663,Victor,Alexander,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
664,Mark,Randall,Unknown,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
665,Mitchell,Wiggins,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
666,Tharon,Mayes,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
667,Charles,Thomas,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
668,Robert,Pack,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
669,John,Bagley,Unknown,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
670,Rick,Fox,Unknown,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
671,Larry,Johnson,Unknown,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
672,Alexander,Volkov,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
673,Stacey,Augmon,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
674,Carl,Thomas,Unknown,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
675,Steven,Smith,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
676,Stanley,Roberts,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
677,Doug,Lee,Unknown,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
678,Rafael,Addison,Unknown,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
679,Sean,Green,Unknown,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
680,Corey,Crowder,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
681,Eric,Murdock,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
682,Kevin,Brooks,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
683,Carlton,McKinney,Unknown,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
684,Billy,Owens,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
685,Doug,Smith,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
686,Marty,Conlon,Unknown,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
687,Rich,King,Unknown,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
688,Brad,Sellers,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
689,Rodney,Monroe,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
690,Lanard,Copeland,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
691,LeRon,Ellis,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
692,Larry,Stewart,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
693,John,Turner,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
694,Charles,Shackleford,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
695,Keith,Owens,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
696,Paul,Graham,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
697,Kenny,Anderson,Unknown,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
698,Carl,Herrera,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
699,Myron,Brown,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
700,Dale,Davis,Unknown,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
701,Labradford,Smith,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
702,Bison,Dele,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
703,Chuck,Nevitt,Unknown,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
704,Patrick,Eddie,Unknown,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
705,David,Rivers,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
706,Luc,Longley,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
707,Bob,McCann,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
708,Donald,Royal,Unknown,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
709,Anthony,Bowie,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
710,Chris,Corchiani,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
711,Stephen,Thompson,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
712,Jeff,Ruland,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
713,Ronnie,Grandison,Unknown,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
714,Lamont,Strothers,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
715,Tracy,Moore,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
716,Jaren,Jackson,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
717,Ennis,Whatley,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
718,Brian,Howard,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
719,Steve,Burtt,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
720,Cedric,Hunter,Unknown,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
721,Stephen,Bardo,Unknown,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
722,Cliff,T. Robinson,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
723,Derek,Strong,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
724,Bobby,Phills,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
725,Anthony,Avent,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
726,Lee,Mayberry,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
727,Todd,Day,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
728,Tony,Bennett,Unknown,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
729,Brent,Price,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
730,Don,MacLean,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
731,Tom,Gugliotta,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
732,Walt,Williams,Unknown,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
733,Lloyd,Daniels,Unknown,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
734,Vinny,Del Negro,Unknown,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
735,Shaquille,O'Neal,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
736,Adam,Keefe,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
737,Clar.,Weatherspoon,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
738,Robert,Horry,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
739,Chris,Smith,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
740,Christian,Laettner,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
741,Gundars,Vetra,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
742,Corey,Williams,Unknown,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
743,Elmore,Spencer,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
744,Anthony,Peeler,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
745,Duane,Cooper,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
746,John,Crotty,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
747,Stephen,Howard,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
748,Byron,Houston,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
749,Keith,Jennings,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
750,Latrell,Sprewell,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
751,Bryant,Stith,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
752,LaPhonso,Ellis,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
753,Matt,Othick,Unknown,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
754,Sam,Mack,Unknown,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
755,Anthony,Pullard,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
756,Malik,Sealy,Unknown,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
757,Hubert,Davis,Unknown,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
758,Sean,Rooks,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
759,Walter,Bond,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
760,Harold,Miner,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
761,Oliver,Miller,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
762,Lorenzo,Williams,Unknown,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
763,Dave,Johnson,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
764,Reggie,Smith,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
765,Tracy,Murray,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
766,Robert,Werdann,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
767,Alex,Stivrins,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
768,Frank,Johnson,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
769,Randy,Woods,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
770,Litterial,Green,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
771,Alonzo,Mourning,Unknown,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
772,Alex,Blackwell,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
773,Isaiah,Morris,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
774,Doug,Overton,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
775,Eric,Anderson,Unknown,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
776,Tim,Kempton,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
777,Stan,Kimbrough,Unknown,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
778,Jay,Guidinger,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
779,Gary,Plummer,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
780,Matt,Geiger,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
781,Marcus,Webb,Unknown,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
782,Jojo,English,Unknown,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
783,Marlon,Maxey,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
784,Jon,Barry,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
785,Richard,Dumas,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
786,Radisav,Curcic,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
787,Andre,Spencer,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
788,Dexter,Cambridge,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
789,Joe,Courtney,Unknown,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
790,Duane,Washington,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
791,Melvin,Newbern,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
792,Ricky,Blanton,Unknown,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
793,Jim,Jackson,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
794,Barry,Stevens,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
795,Doug,Christie,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
796,Pat,Durham,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
797,Thomas,Jordan,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
798,Gary,Alexander,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
799,Anfernee,Hardaway,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
800,Keith,Tower,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
801,Chris,Whitney,Unknown,27,SAS,San Antonio,West,Southwest,San Antonio Spurs,Spurs
802,Josh,Grant,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
803,Bobby,Hurley,Unknown,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
804,Mike,Peplowski,Unknown,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
805,Darnell,Mee,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
806,Rodney,Rogers,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
807,Acie,Earl,Unknown,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
808,Dino,Radja,Unknown,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
809,Chris,Mills,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
810,Vin,Baker,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
811,Antonio,Harvey,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
812,Nick,Van Exel,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
813,Terry,Dehere,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
814,James,Robinson,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
815,Corie,Blount,Unknown,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
816,Toni,Kukoc,Unknown,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
817,Michael,Curry,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
818,Shawn,Bradley,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
819,Warren,Kidd,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
820,Calbert,Cheaney,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
821,Mitchell,Butler,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
822,Tito,Horford,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
823,Bryon,Russell,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
824,Luther,Wright,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
825,Darren,Morningstar,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
826,Jamal,Mashburn,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
827,Lucious,Harris,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
828,Popeye,Jones,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
829,Eric,Riley,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
830,Sam,Cassell,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
831,P.J.,Brown,Unknown,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
832,Rex,Walters,Unknown,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
833,Antonio,Davis,Unknown,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
834,Allan,Houston,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
835,Lindsey,Hunter,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
836,Brian,Davis,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
837,Isaiah,Rider,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
838,Matt,Wenstrom,Unknown,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
839,Scott,Haskin,Unknown,12,IND,Indiana,East,Central,Indiana Pacers,Pacers
840,Gerald,Madkins,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
841,Greg,Graham,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
842,Ervin,Johnson,Unknown,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
843,George,Lynch,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
844,Bob,Martin,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
845,Ricky,Grace,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
846,Sedric,Toney,Unknown,6,CLE,Cleveland,East,Central,Cleveland Cavaliers,Cavaliers
847,Chris,Webber,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
848,Gheorghe,Muresan,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
849,Richard,Petruska,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
850,Kevin,Thompson,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
851,Adonis,Jordan,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
852,Scott,Burrell,Unknown,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
853,Dell,Demps,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
854,Evers,Burns,Unknown,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
855,Aaron,Williams,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
856,Stanley,Jackson,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
857,David,Wesley,Unknown,3,BKN,Brooklyn,East,Atlantic,Brooklyn Nets,Nets
858,Chris,King,Unknown,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
859,Doug,Edwards,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
860,Harold,Ellis,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
861,Malcolm,Mackey,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
862,Ben,Coleman,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
863,Roy,Marble,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
864,Reggie,Jordan,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
865,Chad,Gallagher,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
866,Bo,Outlaw,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
867,Bill,Edwards,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
868,Andrew,Gaze,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
869,Alphonso,Ford,Unknown,21,OKC,Oklahoma City,West,Northwest,Oklahoma City Thunder,Thunder
870,Andres,Guibert,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
871,Skeeter,Henry,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
872,Chris,Jent,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
873,Geert,Hammink,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
874,Jalen,Rose,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
875,Reggie,Slater,Unknown,8,DEN,Denver,West,Northwest,Denver Nuggets,Nuggets
876,Askia,Jones,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
877,Donyell,Marshall,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
878,Howard,Eisley,Unknown,18,MIN,Minnesota,West,Northwest,Minnesota Timberwolves,Timberwolves
879,Grant,Hill,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
880,Anthony,Miller,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
881,Eddie,Jones,Unknown,14,LAL,Los Angeles,West,Pacific,Los Angeles Lakers,Lakers
882,Dickey,Simpkins,Unknown,5,CHI,Chicago,East,Central,Chicago Bulls,Bulls
883,Eric,Piatkowski,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
884,Lamond,Murray,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
885,Matt,Fish,Unknown,13,LAC,LA,West,Pacific,LA Clippers,Clippers
886,Aaron,McKie,Unknown,25,POR,Portland,West,Northwest,Portland Trail Blazers,Trail Blazers
887,Eric,Montross,Unknown,2,BOS,Boston,East,Atlantic,Boston Celtics,Celtics
888,Fred,Vinson,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
889,Tom,Hovasse,Unknown,1,ATL,Atlanta,East,Southeast,Atlanta Hawks,Hawks
890,Jamie,Watson,Unknown,29,UTA,Utah,West,Northwest,Utah Jazz,Jazz
891,Khalid,Reeves,Unknown,16,MIA,Miami,East,Southeast,Miami Heat,Heat
892,Brian,Grant,Unknown,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
893,Henry,Turner,Unknown,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
894,Michael,Smith,Unknown,26,SAC,Sacramento,West,Pacific,Sacramento Kings,Kings
895,Antonio,Lang,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
896,Wesley,Person,Unknown,24,PHX,Phoenix,West,Pacific,Phoenix Suns,Suns
897,B.J.,Tyler,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
898,Derrick,Alston,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
899,Sharone,Wright,Unknown,23,PHI,Philadelphia,East,Atlantic,Philadelphia 76ers,76ers
900,Eric,Mobley,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
901,Darrin,Hancock,Unknown,4,CHA,Charlotte,East,Southeast,Charlotte Hornets,Hornets
902,Bill,Curley,Unknown,9,DET,Detroit,East,Central,Detroit Pistons,Pistons
903,Anthony,Tucker,Unknown,30,WAS,Washington,East,Southeast,Washington Wizards,Wizards
904,Tim,Breaux,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
905,Zan,Tabak,Unknown,11,HOU,Houston,West,Southwest,Houston Rockets,Rockets
906,Brooks,Thompson,Unknown,22,ORL,Orlando,East,Southeast,Orlando Magic,Magic
907,Glenn,Robinson,Unknown,17,MIL,Milwaukee,East,Central,Milwaukee Bucks,Bucks
908,Jason,Kidd,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
909,Tony,Dumas,Unknown,7,DAL,Dallas,West,Southwest,Dallas Mavericks,Mavericks
910,Monty,Williams,Unknown,20,NYK,New York,East,Atlantic,New York Knicks,Knicks
911,Carlos,Rogers,Unknown,10,GSW,Golden State,West,Pacific,Golden State Warriors,Warriors
